player_id,rank,division,tier
qgd0RfBS-q2Qf7aXoeBKzv_MUEcLHEeBtmfK-y0cOR04pqFQiIRhg_y2wSaFQ8yAZSYhQAPfA1Do8A,IRON II,II,IRON
D9FCOJR5P9ncGTtsi0i3qCNcQME_h_IoiWUXzdtxg9XjZAwgqT5mzGeh76E_MuNNnILgCiMbThWT9A,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
qpb5R11Bmg_AxZ21mW-DkS6mtGaSOMhrAwFhrqWLMqV6BDoI5kA9NTqGq5tFJdrBhwkDrkav-hTbow,IRON II,II,IRON
redyOR6eHZoTcvFeQPXybm1PzXMj0T5pBRT6q3lrU83wCUEShOKNS5MDSRLKAn9hO9MOinTpa31ShA,IRON II,II,IRON
t6Npei-J7xkJvIepxSXNVj-u48h4eXErTaz9aDN5PuJ3RxmZuyEZPCpfNM7HJasCWYTfomcQaWMiew,IRON II,II,IRON
GLWShM5amFVXpuaDkaFkDWKaxIbhKekHgctTSNVvL2h005BFpjnsyQziTFIEezhOxhuYId9FIdacGg,IRON II,II,IRON
BezLbldO6VG7LNsL-2SUPlBnzXHBkGomlypUcpg2I36GtizbOHNjUpPwbPyp1dZl7CooHMTbriwrtg,IRON II,II,IRON
AcDu8jIPJ6GlqapwA0qAgK6tvVHI8x9lPHZ4GHFUL7hoWJwedat82jFGH7Rx-BRo4BFoBNiP_uBv4g,IRON II,II,IRON
swfY9tEXxChHtsnPedDcu5SmwBS9S7A-C4Lu3PgHdZMAkadC9Rmhri1Ou1Y6QPMhrTZ-JKLt9IFMiw,IRON II,II,IRON
zi3yk8X728olNx-OUjZf7Nbe8PvG4UPYpak-Fkh6VgxhbmVHQgd4K125XWhRNyT2qsCabdUfjESCUA,IRON II,II,IRON
xTnmrPGK9ElBcucWa1dJucovbXGQcCW5wr5EDpmahesJUQM48zy0zY3apyFIKRsDKJ9s1E-m_rXvPg,IRON II,II,IRON
8FCy3Xwbr07Hi6ZeCQhKmkd7HWH-7WSWsNTW47TE2f5U2fvvaid2A_KAodAi9EesTFpgieTYyjQJRw,IRON II,II,IRON
XjyaQ7sGfU3TN1yl29zpyaF70HcZsHZ90k3-gNdw4O_t1UyhNpZdmnVFlqx7u5gZASTftWsH96vU9w,IRON II,II,IRON
xBGT3C5FKSlDIIkxayNp53FnAekdfMeFWXUeGal-xn34bQwpLeBUsfm-_RA1Ub8CbFi6tO_LPr_-EA,IRON II,II,IRON
D9FCOJR5P9ncGTtsi0i3qCNcQME_h_IoiWUXzdtxg9XjZAwgqT5mzGeh76E_MuNNnILgCiMbThWT9A,IRON II,II,IRON
VuRRlDsI-Z8Kk20ivyuCej0iIzLVu7EmOaa-DaarDyYZ95a6Wgut51PR_qrAQDB3Xw-6UK5bsbqTzA,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
sAZI1ibe2rvCbVZd7nd6IGZqySLULKUBIsnODTaE7AzJES0e2pueirfr0Uz6zPjoLB7UuHSBOtpAwQ,IRON II,II,IRON
DCEgnIonWx_SU5i-G2wezoGA2b62usSMFDvXXPEpwo6EtspAVj6k5QfLRaNfuiNeWVm3OOR9M2CEWA,IRON II,II,IRON
D9FCOJR5P9ncGTtsi0i3qCNcQME_h_IoiWUXzdtxg9XjZAwgqT5mzGeh76E_MuNNnILgCiMbThWT9A,IRON II,II,IRON
El_TejUHmulKrGpR4qj59tf43nKn8swR_EiZ16ug7X7rEUTqmnDr8fJrr-mmd2VvqO8cxZo0dib9Gw,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
VhdLcfgvzoA29hn21K-D66fbvS9yR7GNaMfcmzYYgF4qAD3oUejkGYzzBFFrn2AVyzPvz6TR6cA3Fw,IRON II,II,IRON
HLe0Ma64qlOsR6UNeLfjtt1Q9QeX6qYHzCUaXZV9uhyjVBQJ9QrckaiXMEZTC_lVL5Fah_GaYs4rBg,IRON II,II,IRON
L3oiynq-BlLjnJ-36JxEeWT_UgWHojh32R1reJ9Xowvh_Zhei9_Pb0ERX1wSJwrUkDupoCRIICuB-w,IRON II,II,IRON
phhyg7I4viCHB5vZI4Ew70mg4cSQAu0F0hGl_h265Nr04iFd7gjO2TUcufeezOc2iESDexVHQm84lg,IRON II,II,IRON
2aHps3xgb76i2o8OL-xPixZ4SbhBOyI8jLy4UPQDgRxGdkZ0MtdmWgd6PNVHRSYp6kOJXIJgg4_CCQ,IRON II,II,IRON
mNbyw4BUT6Z5dQhP3ZJlyR6W00RkkMMRS1e0wv6Gg3HWNL6-8AnkHz_mYv7VhFKDkZwE3D4MWqNlkw,IRON II,II,IRON
EKhoHtH4jBns907kxiSWTfAAtJZ6dMYPc7vAQjhMLNbFVvAUIzEUGj43gitD8ospOxDTordGIGOvFg,IRON II,II,IRON
D9FCOJR5P9ncGTtsi0i3qCNcQME_h_IoiWUXzdtxg9XjZAwgqT5mzGeh76E_MuNNnILgCiMbThWT9A,IRON II,II,IRON
owzYBM9tOZDJeAacQHWmRnEYeOl1c2oxfh0bmVoHHqmSvwV4kbOZ9Ex1CmfIKiksIj6aw-yIbcDdmA,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
6i1gqSByuS33CkAf5aJ5a7fks0CFj6RvT9MCwtR0HwahLafiCrRy0Uay9l2bl9GEL1IqdaDm1StM6A,IRON II,II,IRON
uz4zIj1Vkbv_EWF5ZflynkVEHAjQsm87EKa58wLr6GeH3QzRZBsyPdSA1YJqasWvyLUruJGvl3hsrw,IRON II,II,IRON
KMMApu369vssh1fL4uP1jAplF_LD0XRJk-kFBhxgjS5X2j7x4_tYo74eVUoMV4evXgjuY-gPVItyiw,IRON II,II,IRON
e7EcdQiQKguVd3QxFxeNyCjOHustm8_x0Va_oGSte9_lXCftdvi5TceD48Gskwwk-B47KmCQmUbg2Q,IRON II,II,IRON
Rm4lz0qpQu-UH0EljP7wMa_uI2iQevUllzVVo0gPcDqnCDVQ4V0ldtqmZrbiavkDs6enYugZEXyqug,IRON II,II,IRON
OLcjFAC_rQ3ssryf2AqFtRISl7PEBH5CvkqB-R9xbQGBhZcPoJ3tH9v1xuXRCdsoJrDJ4ylEg-kTBw,IRON II,II,IRON
JoYAm_GHYE4l1tSnSdPhmRthhyvgzCztpbF25LdOR5LQ7lQAekKbZpSRAOhYnZxTYm-wCRi60ERH5A,IRON II,II,IRON
D9FCOJR5P9ncGTtsi0i3qCNcQME_h_IoiWUXzdtxg9XjZAwgqT5mzGeh76E_MuNNnILgCiMbThWT9A,IRON II,II,IRON
rcyirbBdPL75b55c8u5h1XTDCFjZwdaiL3X0d4NA1AJhTvoe15DS9es8kFYHf4RxyZKINTY3q87SCQ,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
ijENYAehFSvn1hOgwAFb0U0bbruEamF3gFl4FYa_jT_8JMHDa9SGrG4jK4y6wnaDbIpofXmedxq7Jw,IRON II,II,IRON
W7FmNEqUnsJUwH4oo_Uu0X3mw1GJHb3HDzH4jqlW87DBb8wO1jjWEmiVvVd48qJosLNVYuChcemxpQ,IRON II,II,IRON
XAqKBC2GJ7GyRbbF3tVkDy6dYg3BPOmKkl-cisjfus5Uy4pk1ZZ70CobW6yOg_BOOhfDd0ReqGrweA,IRON II,II,IRON
Tnv4Lck70WoMwIPwY3BWIJVhALgrZeCtAR--841IyGipbnUgeD7IcDqCghbUac6OKUgmDsaIUgSgOw,IRON II,II,IRON
HDVi-aDz46zPCFS5ZpDeggGlm-_TX_gQoHBMuKOzDtw-BHhs4E8jR2IZOF91tTvy81dcX2x8r6mynA,IRON II,II,IRON
fCRqUHNWBBbgcvoSyvJlKoqrRfm82QcmZMc-f_u0EzCIfoPuQ-5jOpyy95ZBlF2GSJfpX3V6dSfXeg,IRON II,II,IRON
xlEIygM8LchYdkwDxgonNygf_8oAOc5rLRvmm7IdqaYiRCpwr7JYei4mSOT3ayNLgy5T71BkgWGl1g,IRON II,II,IRON
Q1LcgEqVQt-gimM1pw8W0Dh2lzyMzD4V8PS60XP-fjbW4DxK3mQk0qF92wypRcigrEK2MQnLVxJP4A,IRON II,II,IRON
4BvMoa53JS5dEn9_GoOKupmwZp5HLeQb-B4m_95iTu19ZR4JEH74Ibu-IR-FCoYbG8MtK1ZrxCaMUA,IRON II,II,IRON
8eApwzw9VdS-k-h7QeULco9R6-Ki_e7ecslYlg1OzAQ0CmqHJi7V1YL5jQwfQZiAhF_3Snm0Eklyxg,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
D9FCOJR5P9ncGTtsi0i3qCNcQME_h_IoiWUXzdtxg9XjZAwgqT5mzGeh76E_MuNNnILgCiMbThWT9A,IRON II,II,IRON
d4d7Zcbb58A3B36-h5CRpcWw_yWkLwfBQNIxGpoCEpSW2m9wckZwcMRM_4u1h8JYeXXCgnU-wECiKg,IRON II,II,IRON
zoWO6zKsJ4ocleHwZwfAx5C1b8ocZCYA6hmQStegRZzY-BBKg8JOhd0MOPz4CvRonS49xQ3BOQ5c3Q,IRON II,II,IRON
_5CggEgEQ-ETFwb1CjnN4LO-lULWixbKEXcTfPAi3HXpb7TQZlEd7xfYjMrNkrOQ4VTkMZy8IDskBQ,IRON II,II,IRON
rvO2Wb9N0qYK1Q6hH1yRJ29b6b2tDbMZTjmuWX81xhQsPFFYkWLEUcqUaI6mvOBEsfFjbI7SEyYjIA,IRON II,II,IRON
3WpnTvFM1RdZUh2O9WpupTaGGvuLB_XFqINve62NU74bId9_DyzPAuvwnZ4FBqrR6uP6uLsy_CRwqg,IRON II,II,IRON
D9FCOJR5P9ncGTtsi0i3qCNcQME_h_IoiWUXzdtxg9XjZAwgqT5mzGeh76E_MuNNnILgCiMbThWT9A,IRON II,II,IRON
yIJ1RowIB2w0XmvBLuiw8fkFvTu5-HVBq03AF6WLGdtRdYjMfO6dQ3trC4gelNjbDlchxK1Y7Gohsw,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
NuNv85YOWQqH6_plfsfB3-mKXqIKD8VNGqvy7DcN1rBmAtfgclHQLVkvArwVr6Klsfbff9NAfuxhXw,IRON II,II,IRON
H5IYxf-yN7ew9y3EyG3fRTZFuOQ26K0S3zRQn_Ul7ui4zGvWT4Rok8TzulCiUbNVwos0QehjRuCQpA,IRON II,II,IRON
3V-lok2qpwjQL1vXxkTnCzaXGlCiSu2U5j7qGNGvdp9XtEW7fCwK0AHMnsw2xyhGL_4gJnhOm2YMmw,IRON II,II,IRON
NSmOLRjDCSuyXgnlVFu-Xn-UNK-p5fFEKNIEvyjEaJVxEsRTDkQNOXRo4aXL7A5lBSotmNFo3cC44g,IRON II,II,IRON
wp22lPTIFxFEGIbhE3xT6WnB53uBUuJb5qYs2_TDooIFWe2uDN_618Q2M_P8ncVOTaL7aeUxfaPRmg,IRON II,II,IRON
foQ8Bfd07XM2Lh-NQyissCLrSLMhjc8DpYrqMRE-AymH3BmQqfG18ecaW9pdHoMPoZb2nMddWub6Uw,IRON II,II,IRON
i5NUwCef5eOnXKsjaZG9qXD0zxB_w_EzDJHWjHYOt0X6lQYbfX46XB4kRnDk5zFIP-rA0cBUVERivA,IRON II,II,IRON
lA65YYMb9l_eFXDK-JfaWIuzurUDf3YtPM_6wrRceM7jHbim5jfU6aaQWlZCQfQB2ZC25o6IVOGVpw,IRON II,II,IRON
yW-b-WT1K5bYcUgOoMpZHFes39hLgbaORnVuWtH_PRBC5CrHrhijnIK25mu690xXCRbpmAHG6e7Pvw,IRON II,II,IRON
v6GK5Nvf_43_bFLLbSTfPnRtJ7Z00L4qnGwNlogtEjEHq0P0mLlvFkjo61kUSHuX8_BDk5DRsZWN8A,IRON II,II,IRON
4wbFh62cbUgbW19m8Inq2Ye7v1C7Z6fDNY5mHcU3pW4R8PPtWsE0VDEA_w32eJcVxjZReLxzFUwaww,IRON II,II,IRON
b_1g60ty6nSfcOJ8rXx4NdHaoZfZW0pA1PMObIjuEAo5_e6LFjdZXL0Sa3OmalYvtsjS8gKbXGA60Q,IRON II,II,IRON
qu95sa2M0Mh0mmevJKulnBKdlcUDb8fLYMQj_kIGQ6oKK-LD38O1FnZApQOBIvZWcZ15MGUzX8E2aw,IRON II,II,IRON
C3g0wpRDmwiAj8B9ilLeV4iJUbPjLBmYJuPeHfq3LcN1YGCb-wZ0BEm0pesuA8O9fnGf9Ik9CGDO2A,IRON II,II,IRON
JY5dbDu0oA0eEJzMG9TcSE8lVwrcciCBW6nL87MdqR0Y1YoTXHy0R9bQ9WoNXs1657HMFQopVWfO3Q,IRON II,II,IRON
GIkXBF1BA6ogGPUKCDM3SSa2DNrrv56wP9JcWHt6LGvb1YIPguhsejbUEpiLdlQTwynDRmdQrTEO2Q,IRON II,II,IRON
gVeNQJm3S2R0QB73xARocwfMmSpShCZVfQw9k4l4mjxk0fxbrfu3O6VRMyAOqnzS6mV-1dyCDy2v-Q,IRON II,II,IRON
Haeklgd6YwvRcbhCkRwjry7m_0_ggExqB7-UgNfYGdjThcFVkuUnkssjJ-4HRCcZfKH25N5_jWENrQ,IRON II,II,IRON
2bgH6uPSJaOhh-_PwsPzyVd9a3L0XaahiG8qwX6gZZwK1JDEfZ0VGOnB4SsuzULpDvLU8WfNSJfpjQ,IRON II,II,IRON
